Name,Suburb,Postcode,School Level
Fairfield Public School,Fairfield ,2165,Primary School
Fairfield West Public School,Fairfield West ,2165,Primary School
Fairy Meadow Public School,Fairy Meadow ,2519,Primary School
Falls Creek Public School,Falls Creek ,2540,Primary School
Fassifern Public School,FASSIFERN,2283,Primary School
Fingal Head Public School,Fingal Head ,2487,Primary School
Five Dock Public School,Five Dock ,2046,Primary School
Lord Howe Island Central School,Lord Howe Island ,2898,Central/Community School
Forbes Public School,Forbes,2871,Primary School
Forest Hill Public School,Forest Hill,2651,Primary School
Forest Lodge Public School,Forest Lodge ,2037,Primary School
Forster Public School,Forster ,2428,Primary School
Fort Street Public School,Sydney ,2000,Primary School
Frederickton Public School,Frederickton ,2440,Primary School
Freemans Reach Public School,FREEMANS REACH,2756,Primary School
Frenchs Forest Public School,Frenchs Forest ,2086,Primary School
Galston Public School,Galston ,2159,Primary School
Ganmain Public School,GANMAIN,2702,Primary School
Garah Public School,Garah ,2405,Primary School
Gerogery Public School,GEROGERY,2642,Primary School
Gerringong Public School,Gerringong ,2534,Primary School
Geurie Public School,GEURIE,2818,Primary School
Sandy Hollow Public School,Sandy Hollow,2333,Primary School
Gilgai Public School,Gilgai ,2360,Primary School
Gilgandra Public School,Gilgandra ,2827,Primary School
Gillieston Public School,Gillieston Heights ,2321,Primary School
Girilambone Public School,Girilambone ,2831,Primary School
Girraween Public School,Girraween ,2145,Primary School
Gladesville Public School,Gladesville ,2111,Primary School
Gladstone Public School,Gladstone ,2440,Primary School
Windang Public School,Windang ,2528,Primary School
Glenbrook Public School,Glenbrook ,2773,Primary School
Glenfield Public School,Glenfield ,2167,Primary School
Glenhaven Public School,Glenhaven ,2156,Primary School
Glen Innes Public School,Glen Innes ,2370,Primary School
Glenmore Road Public School,Paddington ,2021,Primary School
Glenorie Public School,Glenorie ,2157,Primary School
Glenquarry Public School,Glenquarry ,2576,Primary School
Glenreagh Public School,Glenreagh ,2450,Primary School
Glen William Public School,Clarence Town ,2321,Primary School
Glossodia Public School,Glossodia ,2756,Primary School
Gol Gol Public School,Gol Gol ,2738,Primary School
Goodooga Central School,Goodooga,2831,Central/Community School
Goolgowi Public School,Goolgowi ,2652,Primary School
Goolma Public School,Goolma ,2852,Primary School
Goolmangar Public School,Goolmangar ,2480,Primary School
Gooloogong Public School,Gooloogong ,2805,Primary School
Goonellabah Public School,Goonellabah,2480,Primary School
Goonengerry Public School,GOONENGERRY,2482,Primary School
Gosford Public School,West Gosford,2250,Primary School
Goulburn Public School,Goulburn ,2580,Primary School
Goulburn East Public School,Goulburn ,2580,Primary School
Goulburn North Public School,Goulburn North ,2580,Primary School
Goulburn South Public School,Goulburn ,2580,Primary School
Grafton Public School,Grafton ,2460,Primary School
South Grafton Public School,South Grafton ,2460,Primary School
Granville Public School,Granville ,2142,Primary School
Granville South Public School,Guildford ,2161,Primary School
Gravesend Public School,Gravesend ,2401,Primary School
Greenethorpe Public School,Greenethorpe ,2809,Primary School
Green Hill Public School,West Kempsey,2440,Primary School
Green Valley Public School,Green Valley ,2168,Primary School
Greenwich Public School,Greenwich,2065,Primary School
Grenfell Public School,Grenfell ,2810,Primary School
Gresford Public School,Gresford ,2311,Primary School
Greta Public School,GRETA,2334,Primary School
Greystanes Public School,Greystanes ,2145,Primary School
Griffith Public School,Griffith ,2680,Primary School
Guildford Public School,Guildford ,2161,Primary School
Gulargambone Central School,Gulargambone ,2828,Central/Community School
Gulgong Public School,Gulgong ,2852,Primary School
Gulmarrad Public School,GULMARRAD,2463,Primary School
Gum Flat Public School,Gum Flat ,2360,Primary School
Gundagai Public School,Gundagai ,2722,Primary School
Gundagai South Public School,SOUTH GUNDAGAI,2722,Primary School
Gundaroo Public School,Gundaroo ,2620,Primary School
Gunnedah Public School,Gunnedah ,2380,Primary School
Gunning Public School,Gunning ,2581,Primary School
