Name,School Level,Suburb,Postcode
Bolwarra Primary School,Primary,Bolwarra,3305
Navarre Primary School,Primary,Navarre,3384
Warracknabeal Primary School,Primary,Warracknabeal,3393
Moyhu Primary School,Primary,Moyhu,3732
Natte Yallock Primary School,Primary,Natte Yallock,3465
Clifton Hill Primary School,Primary,Clifton Hill,3068
Christmas Hills Primary School,Primary,Christmas Hills,3775
Tallangatta Primary School,Primary,Tallangatta,3700
Kialla Central Primary School,Primary,Kialla,3631
Mount Eliza Primary School,Primary,Mount Eliza,3930
San Remo Primary School,Primary,San Remo,3925
Dimboola Primary School,Primary,Dimboola,3414
Whorouly Primary School,Primary,Whorouly,3735
Merrijig Primary School,Primary,Merrijig,3723
Lethbridge Primary School,Primary,Lethbridge,3332
Oxley Primary School,Primary,Oxley,3678
Northcote Primary School,Primary,Northcote,3070
North Melbourne Primary School,Primary,North Melbourne,3051
Dandenong Primary School,Primary,Dandenong,3175
Malmsbury Primary School,Primary,Malmsbury,3446
Williamstown North Primary School,Primary,Williamstown,3016
Kerang Primary School,Primary,Kerang,3579
Drouin West Primary School,Primary,Drouin West,3818
Meredith Primary School,Primary,Meredith,3333
Edi Upper Primary School,Primary,Edi Upper,3678
Eaglehawk North Primary School,Primary,Eaglehawk,3556
Mooroopna Primary School,Primary,Mooroopna,3629
Cairnlea Park Primary School,Primary,Cairnlea,3023
Ballan Primary School,Primary,Ballan,3342
Mount Pleasant Primary School,Primary,Ballarat,3350
Tatura Primary School,Primary,Tatura,3616
Toolamba Primary School,Primary,Toolamba,3614
Harston Primary School,Primary,Tatura,3616
Osbornes Flat Primary School,Primary,Osbornes Flat,3691
Frankston Primary School,Primary,Frankston,3199
Donald Primary School,Primary,Donald,3480
Beveridge Primary School,Primary,Beveridge,3753
St Kilda Primary School,Primary,St Kilda,3182
Cape Clear Primary School,Primary,Cape Clear,3351
Warburton Primary School,Primary,Warburton,3799
Tallarook Primary School,Primary,Tallarook,3659
Barnawartha Primary School,Primary,Barnawartha,3688
Fitzroy North Primary School,Primary,Fitzroy North,3068
Ashby Primary School,Primary,Geelong West,3218
Preston Primary School,Primary,Preston,3072
Tooradin Primary School,Primary,Tooradin,3980
Glenferrie Primary School,Primary,Hawthorn,3122
Elmore Primary School,Primary,Elmore,3558
Dookie Primary School,Primary,Dookie,3646
Brighton Primary School,Primary,Brighton,3186
Natimuk Primary School,Primary,Natimuk,3409
Murtoa College,Pri/Sec,Murtoa,3390
Big Hill Primary School,Primary,Big Hill,3555
Clunes Primary School,Primary,Clunes,3370
Marnoo Primary School,Primary,Marnoo,3387
Beechworth Primary School,Primary,Beechworth,3747
Ardmona Primary School,Primary,Ardmona,3629
Kilmore Primary School,Primary,Kilmore,3764
Macarthur Primary School,Primary,Macarthur,3286
Barwon Heads Primary School,Primary,Barwon Heads,3227
Keilor Primary School,Primary,Keilor,3036
Dunolly Primary School,Primary,Dunolly,3472
Springhurst Primary School,Primary,Springhurst,3682
Dixons Creek Primary School,Primary,Dixons Creek,3775
Trentham District Primary School,Primary,Trentham,3458
Warrenheip Primary School,Primary,Warrenheip,3352
Maiden Gully Primary School,Primary,Maiden Gully,3551
Rupanyup Primary School,Primary,Rupanyup,3388
Goornong Primary School,Primary,Goornong,3557
Oakleigh Primary School,Primary,Oakleigh,3166
Ceres Primary School,Primary,Ceres,3221
Malvern Central School,Primary,Malvern,3144
Daylesford Primary School,Primary,Daylesford,3460
Mooroopna North Primary School,Primary,Mooroopna,3629
Swan Reach Primary School,Primary,Swan Reach,3903
Amphitheatre Primary School,Primary,Amphitheatre,3468
Deans Marsh Primary School,Primary,Deans Marsh,3235
Drysdale Primary School,Primary,Drysdale,3222
St Arnaud Primary School,Primary,St Arnaud,3478
Nullawarre and District Primary School,Primary,Nullawarre,3268
Macedon Primary School,Primary,Macedon,3440
Arthurs Creek Primary School,Primary,Arthurs Creek,3099
Rye Primary School,Primary,Rye,3941
Buxton Primary School,Primary,Buxton,3711
Moonambel Primary School,Primary,Moonambel,3478
Baringhup Primary School,Primary,Baringhup,3463
Longford Primary School,Primary,Longford,3851
Harkaway Primary School,Primary,Harkaway,3806
Balnarring Primary School,Primary,Balnarring,3926
Carraragarmungee Primary School,Primary,Londrigan,3678
Euroa Primary School,Primary,Euroa,3666
Pyramid Hill College,Pri/Sec,Pyramid Hill,3575
Shepparton East Primary School,Primary,Shepparton East,3631
Nicholson Primary School,Primary,Nicholson,3882
Kialla West Primary School,Primary,Kialla West,3631
Miners Rest Primary School,Primary,Miners Rest,3352
Glenrowan Primary School,Primary,Glenrowan,3675
Warrnambool Primary School,Primary,Warrnambool,3280
Devenish Primary School,Primary,Devenish,3726
Undera Primary School,Primary,Undera,3629
Dederang Primary School,Primary,Dederang,3691
Eppalock Primary School,Primary,Axe Creek,3551
Silvan Primary School,Primary,Silvan,3795
Wendouree Primary School,Primary,Wendouree,3355
Lancaster Primary School,Primary,Lancaster,3620
Raywood Primary School,Primary,Raywood,3570
Drummond Primary School,Primary,Drummond,3461
Puckapunyal Primary School,Primary,Puckapunyal,3662
Landsborough Primary School,Primary,Landsborough,3384
Lysterfield Primary School,Primary,Lysterfield,3156
Winton Primary School,Primary,Winton,3673
Merrigum Primary School,Primary,Merrigum,3618
Bethanga Primary School,Primary,Bethanga,3691
Abbotsford Primary School,Primary,Abbotsford,3067
Newtown Primary School,Primary,Newtown,3220
Windsor Primary School,Primary,Windsor,3181
Narre Warren North Primary School,Primary,Narre Warren North,3804
Buchan Primary School,Primary,Buchan,3885
Anakie Primary School,Primary,Anakie,3213
Moolap Primary School,Primary,Moolap,3221
Footscray City Primary School,Primary,Footscray,3011
Newham Primary School,Primary,Newham,3442
Plenty Parklands Primary School,Primary,Mill Park,3082
White Hills Primary School,Primary,White Hills,3550
Mount Egerton Primary School,Primary,Mount Egerton,3352
Drouin Primary School,Primary,Drouin,3818
Wunghnu Primary School,Primary,Wunghnu,3635
Maroona Primary School,Primary,Maroona,3377
Jindivick Primary School,Primary,Jindivick,3818
Talgarno Primary School,Primary,Talgarno,3691
Bungaree Primary School,Primary,Bungaree,3352
Little River Primary School,Primary,Little River,3211
Cowwarr Primary School,Primary,Cowwarr,3857
Morang South Primary School,Primary,South Morang,3752
Camp Hill Primary School,Primary,Bendigo,3550
Pyalong Primary School,Primary,Pyalong,3521
Winchelsea Primary School,Primary,Winchelsea,3241
Buln Buln Primary School,Primary,Buln Buln,3821
Macarthur Street Primary School,Primary,Soldiers Hill,3350
Elliminyt Primary School,Primary,Elliminyt,3249
Mornington Primary School,Primary,Mornington,3931
Hamilton North Primary School,Primary,Hamilton,3300
Mount Blowhard Primary School,Primary,Blowhard,3352
