Name,Suburb,Postcode,School Level
Wilmington Primary School,Wilmington,5485,Primary Schools
Woodside Primary School,Woodside,5244,Primary Schools
Woodville Primary School,Woodville South,5011,Primary Schools
Yahl Primary School,Yahl,5291,Primary Schools
Barmera Primary School,Barmera,5345,Primary Schools
Andamooka Primary School,Andamooka,5722,Primary Schools
Basket Range Primary School,Basket Range,5138,Primary Schools
Beachport Primary School,Beachport,5280,Primary Schools
Belair Primary School,Belair,5052,Primary Schools
Berri Primary School,Berri,5343,Primary Schools
Wynn Vale R-7 School,Wynn Vale,5127,Primary Schools
Aberfoyle Hub R-7 School,Aberfoyle Park,5159,Primary Schools
Parafield Gardens R-7 School,Parafield Gardens,5107,Primary Schools
Birdwood Primary School,Birdwood,5234,Primary Schools
Black Forest Primary School,Black Forest,5035,Primary Schools
Whyalla Special Education Centre,Whyalla Norrie,5608,Primary/Secondary Special Schools
Lake Wangary Primary School,Wangary,5607,Primary Schools
Blackwood Primary School,Eden Hills,5050,Primary Schools
Prospect North Primary School,Prospect,5082,Primary Schools
Blanchetown Primary School,Blanchetown,5357,Primary Schools
Para Hills High School,Para Hills West,5096,High/Secondary Schools
Marden Senior College,Marden,5070,High/Secondary Schools
Blyth Primary School,Blyth,5462,Primary Schools
Nangwarry Primary School,Nangwarry,5277,Primary Schools
Padthaway Primary School,Padthaway,5271,Primary Schools
Highbury Primary School,Hope Valley,5090,Primary Schools
Booborowie Primary School,Booborowie,5417,Primary Schools
Millicent North Primary School,Millicent,5280,Primary Schools
Whyalla Stuart Campus R-7,Whyalla Stuart,5608,Primary Schools
Keller Road Primary School,Salisbury East,5109,Primary Schools
Bridgewater Primary School,Bridgewater,5155,Primary Schools
Brighton Primary School,Brighton,5048,Primary Schools
Wirreanda Secondary School,Morphett Vale,5162,High/Secondary Schools
Hallett Cove School,Hallett Cove,5158,Primary/Secondary Schools
Seaford Secondary College,Seaford,5169,Primary/Secondary Schools
Peterborough Primary School - Yunta Campus,Yunta,5440,Primary Schools
Brompton Primary School,Renown Park,5008,Primary Schools
Linden Park Primary School,Linden Park,5065,Primary Schools
Madison Park School,Salisbury East,5109,Primary Schools
Rapid Bay Primary School,Rapid Bay,5204,Primary Schools
Parndana Campus,Parndana,5220,Area Schools
Forbes Primary School,South Plympton,5038,Primary Schools
Enfield Primary School,Enfield,5085,Primary Schools
Salisbury North R-7 School,Salisbury North,5108,Primary Schools
Hillcrest Primary School,Hillcrest,5086,Primary Schools
Darlington Primary School,Seacombe Gardens,5047,Primary Schools
Paringa Park Primary School,North Brighton,5048,Primary Schools
Hendon Primary School,Royal Park,5014,Primary Schools
Nicolson Avenue Primary School,Whyalla Norrie,5608,Primary Schools
Loxton North School,Loxton North,5333,Primary Schools
Willsden Primary School,Port Augusta,5700,Primary Schools
Risdon Park Primary School,Port Pirie,5540,Primary Schools
Elizabeth South Primary School,Elizabeth South,5112,Primary Schools
Hampstead Primary School,Greenacres,5086,Primary Schools
Burnside Primary School,Burnside,5066,Primary Schools
Bute Primary School,Bute,5560,Primary Schools
Cadell Primary School,Cadell,5321,Primary Schools
Callington Primary School,Callington,5254,Primary Schools
Challa Gardens Primary School,Kilkenny,5009,Primary Schools
Clare Primary School,Clare,5453,Primary Schools
Clarendon Primary School,Clarendon,5157,Primary Schools
Cobdogla Primary School,Cobdogla,5346,Primary Schools
Colonel Light Gardens Primary School,Colonel Light Gardens,5041,Primary Schools
Compton Primary School,Suttontown,5291,Primary Schools
Coomandook Area School,Coomandook,5261,Area Schools
Coonalpyn Primary School,Coonalpyn,5265,Primary Schools
Coorabie Rural School-Annexe of Penong PS,Coorabie,5690,Rural Schools
Ardrossan Area School,Ardrossan,5571,Area Schools
Bordertown Primary School,Bordertown,5268,Primary Schools
Ceduna Area School,Ceduna,5690,Area Schools
Cowell Area School,Cowell,5602,Area Schools
Kimba Area School,Kimba,5641,Area Schools
Kingston Community School,Kingston SE,5275,Area Schools
Orroroo Area School,Orroroo,5431,Area Schools
Port Broughton Area School,Port Broughton,5522,Area Schools
Snowtown Primary School,Snowtown,5520,Primary Schools
Tumby Bay Area School,Tumby Bay,5605,Area Schools
Willunga Primary School,Willunga,5172,Primary Schools
Streaky Bay Area School,Streaky Bay,5680,Area Schools
Woomera Area School,Woomera,5720,Area Schools
Cambrai Primary School,Cambrai,5353,Primary Schools
Leigh Creek Area School,Leigh Creek,5731,Area Schools
Lucindale Area School,Lucindale,5272,Area Schools
